"year","squirrel_id","breed_status","fieldBDate","grid","lac_end","lac_cache"
2013,10654,1,2013-04-16,"SU",2013-06-25,FALSE
2013,11619,1,2013-04-20,"KL",2013-06-29,FALSE
2013,12462,1,2013-04-21,"SU",2013-06-30,FALSE
2013,11943,1,2013-04-21,"SU",2013-06-30,FALSE
2013,10046,1,2013-04-23,"KL",2013-07-02,FALSE
2013,11537,1,2013-04-26,"KL",2013-07-05,FALSE
2013,13092,1,2013-04-27,"SU",2013-07-06,FALSE
2013,12625,1,2013-04-27,"KL",2013-07-06,FALSE
2013,12190,1,2013-04-25,"KL",2013-07-04,FALSE
2013,12434,1,2013-04-28,"SU",2013-07-07,FALSE
2013,12137,1,2013-04-28,"KL",2013-07-07,FALSE
2013,11775,1,2013-04-28,"KL",2013-07-07,FALSE
2013,13112,1,2013-04-29,"KL",2013-07-08,FALSE
2013,11722,1,2013-05-01,"SU",2013-07-10,FALSE
2013,12026,1,2013-04-30,"SU",2013-07-09,FALSE
2013,13131,1,2013-05-01,"SU",2013-07-10,FALSE
2013,11896,1,2013-05-04,"KL",2013-07-13,FALSE
2013,11256,1,2013-05-05,"KL",2013-07-14,FALSE
2013,11963,1,2013-05-03,"SU",2013-07-12,FALSE
2013,11220,1,2013-05-07,"KL",2013-07-16,FALSE
2013,10342,1,2013-05-07,"KL",2013-07-16,FALSE
2013,12305,1,2013-05-07,"KL",2013-07-16,FALSE
2013,12303,1,2013-05-08,"KL",2013-07-17,FALSE
2013,11976,1,2013-05-07,"SU",2013-07-16,FALSE
2013,13084,1,2013-05-10,"KL",2013-07-19,FALSE
2013,12703,1,2013-05-09,"KL",2013-07-18,FALSE
2013,12422,1,2013-05-11,"KL",2013-07-20,FALSE
2013,10995,1,2013-05-11,"KL",2013-07-20,FALSE
2013,13012,1,2013-05-10,"KL",2013-07-19,FALSE
2013,10374,1,2013-05-10,"KL",2013-07-19,FALSE
2013,12423,1,2013-05-09,"KL",2013-07-18,FALSE
2013,12513,1,2013-05-10,"KL",2013-07-19,FALSE
2013,12626,1,2013-05-10,"KL",2013-07-19,FALSE
2013,12199,1,2013-05-12,"KL",2013-07-21,FALSE
